Los Angeles,Chicago,Vancouver,Philadelphia,New York,Crime Los Angeles,Crime Chicago,Crime NYC,Crime Philadelphia,Crime Vancouver
289.3928991745131,267.97691629677286,278.3344804816392,271.1401880830232,270.93985961691436,15890,19870,38884,12316,2461
287.4708630952379,265.583452380952,275.3295386904765,271.9258035714288,271.55014880952376,13632,17977,34419,11252,2141
288.983596774193,272.8006407930106,279.22770833333294,275.75468615591376,275.14150604838693,15532,22117,40895,14146,2447
289.9279038698529,282.4591648148154,282.68995129629553,284.17291935185114,283.27414736901534,15374,22836,40017,15832,2497
293.1887574890662,288.9186592010927,287.0183533559324,290.39262668550276,289.9744016007952,16671,24807,44254,17385,2803
292.9569579925972,292.7758519360209,288.744188136622,295.24892237147355,294.93008442433165,16294,25348,42769,16819,2769
296.20336343185517,294.6343526339175,292.3077337113384,297.3534102638533,297.1641092646908,17165,26477,44913,18012,3174
295.29446126168557,295.3495551709663,292.7436746301343,294.8335329825334,294.9931546022119,16979,25802,44626,16813,3191
294.76955069444455,291.21666874999977,289.59579127234025,292.34590486111114,292.4135672811529,16697,23811,43329,16819,2985
290.11895900537644,285.2929932795697,285.62657608625983,286.8481888440861,287.41306272124746,17232,23911,44281,17664,2997
284.471839583333,275.6476986111111,278.87502904779024,277.71977777777767,278.86700560454176,15904,20680,37805,14880,2635
281.6751901881719,274.1612997311826,277.881060253414,276.4650719086021,276.6610058173967,17099,20891,35127,14208,2559
